หมายเลขออเดอร์ออนไลน์,ชื่อร้านค้า,เวลาที่สั่งซื้อ,บัญชีร้านค้า,หมายเลขใบชำระเงิน,COD,ช่องทางชำระเงิน,เวลาชำระเงิน,หมายเหตุใบสั่งซื้อ,ข้อความจากร้านค้า,ค่าขนส่ง,จำนวนเงินที่ต้องชำระ,ผู้รับสินค้า,นามสกุลผู้รับสินค้า,หมายเลขโทรศัพท์,หมายเลขมือถือ,สถานที่,ภูมิภาค,อำเภอ,จังหวัด,รหัสไปรษณีย์,ประเทศ,รับสินค้าที่ร้านหรือไม่,รหัสสินค้าบนแพลตฟอร์ม,รหัสสินค้าในระบบ,ชื่อสินค้า,สีและรูปแบบ,จำนวน,ราคาสินค้าต่อหน่วย,บริษัทขนส่ง,หมายเลขขนส่ง,เวลาส่งสินค้า,สถานะ,พนักงานขาย,หมายเหตุออฟไลน์,รูปแบบคำสั่งซื้อ,รูปแบบการชำระ
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,112,112,📦 ปุ๋ย แสงราชสีห์ ซื้อ 4 แถม 1,,3,1750,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,113,113,📦 ชุดทดลองเมล็ด 3 แถม 1,,5,120,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,114,114,เมล็ดพันธุ์ A,,2,120,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,115,115,ปุ๋ย แสงราชสีห์,,4,200,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,116,116,ปุ๋ย แสงราชสีห์ (ของแถม),,1,0,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,117,117,เมล็ดพันธุ์ A,,3,120,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761902289649,N/A,31/10/2568 09:18:10,N/A,,6090,COD,,,,0,6090,สมปอง,คลองสามวา,891234567,891234567,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ไทย,ไม่,118,118,เมล็ดพันธุ์ A (ของแถม),,1,0,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761901336144,N/A,31/10/2568 09:02:16,N/A,,200,COD,,,,0,200,กดกดกด,ดดด,0952141253,0952141253,33/10 ภูริคลอง 7,คลองต้นไทร,เขตคลองสาน,กรุงเทพมหานคร,10600,ไทย,ไม่,111,111,ปุ๋ย แสงราชสีห์,,1,200,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761900264594,N/A,31/10/2568 08:44:25,N/A,,120,COD,,,,0,120,กกด,กดกด,0812345678,0812345678,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,คลองท่อมใต้,คลองท่อม,กระบี่,81120,ไทย,ไม่,110,110,เมล็ดพันธุ์ A,,1,120,,,1/11/2568,Pending,,,ออนไลน์,COD
ORD-1761899452560,N/A,31/10/2568 08:30:53,N/A,,120,COD,,กก,,0,120,สมแล้ว16,นะมึง,891234567,891234567,33/10 ภูริคลอง 7,คลองท่อมใต้,คลองท่อม,กระบี่,81120,ไทย,ไม่,108,108,เมล็ดพันธุ์ A,,1,120,,,1/11/2568,Pending,,,ออนไลน์,COD
