วันที่สั่งซื้อ,เลขคำสั่งซื้อ,ชื่อลูกค้า,ที่อยู่,ตำบล,อำเภอ,จังหวัด,รหัสไปรษณีย์,ภาค,รหัสสินค้า/โปร,สินค้า,ชื่อโปร,จำนวน (ชิ้น),ราคาต่อหน่วย,ส่วนลด,ยอดรวมรายการ,หมายเลขกล่อง,หมายเลขติดตาม,สถานะสลิป
3/11/2568,ORD-1762158443391,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿3,120.00",0,-,อัปโหลดแล้ว
31/10/2568,ORD-1761902289649,สมปอง คลองสามวา,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿6,090.00",0,-,ยังไม่อัปโหลด
31/10/2568,ORD-1761901336144,กดกดกด ดดด,33/10 ภูริคลอง 7,คลองต้นไทร,เขตคลองสาน,กรุงเทพมหานคร,10600,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿200.00,0,-,ยังไม่อัปโหลด
31/10/2568,ORD-1761900264594,กกด กดกด,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,คลองท่อมใต้,คลองท่อม,กระบี่,81120,ภาคใต้,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,ยังไม่อัปโหลด
31/10/2568,ORD-1761899541718,วิชัย เก่งมาก,789 ถนนติวานนท์,บางกระสอ,เมืองนนทบุรี,นนทบุรี,11000,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿200.00,0,-,อัปโหลดแล้ว
31/10/2568,ORD-1761899452560,สมแล้ว16 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,฿120.00,0,-,ยังไม่อัปโหลด
30/10/2568,SO-1026,สมแล้ว18 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿10,800.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1024,สมแล้ว16 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿6,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1025,สมแล้ว17 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿4,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1018,สมแล้ว10 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1019,สมแล้ว11 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,200.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1022,สมแล้ว14 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1023,สมแล้ว15 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿16,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1013,สมแล้ว5 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1014,สมแล้ว6 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿16,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1015,สมแล้ว7 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿6,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1016,สมแล้ว8 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿4,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1017,สมแล้ว9 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿10,800.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1010,สมแล้ว2 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,200.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1011,สมแล้ว3 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,400.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1012,สมแล้ว4 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿1,600.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1009,สมแล้ว1 นะมึง,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1008,สมเสร็จ เสม็ดเสร็จฉัน,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
30/10/2568,SO-1007,สมหมวก สวกตูด,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
29/10/2568,SO-1006,สมหมาย ตายแล้วนะ,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
29/10/2568,SO-1005,สมหมาย ตายแล้วนะ,99/9 หมู่บ้านสุขใจ ซอย 5 ถนนโชคชัย 4 แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230,แขวงลาดพร้าว,เขตลาดพร้าว,กรุงเทพมหานคร,10230,ภาคกลาง,-,-,-,0,฿0.00,฿0.00,"฿2,000.00",0,-,ยังไม่อัปโหลด
